Genre,Publisher,Publisher_Global_Sales,Market_Share
Action,Take-Two Interactive,211.08,0.121
Action,Ubisoft,142.94,0.082
Action,Activision,142.33,0.081
Action,Nintendo,128.18,0.073
Action,Warner Bros. Interactive Entertainment,118.24,0.068
Action,Other,1008.41,0.576
Adventure,Nintendo,35.71,0.149
Adventure,Ubisoft,22.19,0.093
Adventure,THQ,19.98,0.084
Adventure,Disney Interactive Studios,17.76,0.074
Adventure,Sony Computer Entertainment,13.55,0.057
Adventure,Other,129.85,0.543
Fighting,THQ,72.86,0.162
Fighting,Namco Bandai Games,61.22,0.136
Fighting,Nintendo,53.35,0.119
Fighting,Capcom,33.01,0.074
Fighting,Electronic Arts,31.39,0.07
Fighting,Other,197.08,0.439
Misc,Nintendo,180.67,0.223
Misc,Ubisoft,97.53,0.12
Misc,Sony Computer Entertainment,80.8,0.1
Misc,Activision,76.55,0.095
Misc,Microsoft Game Studios,46.99,0.058
Misc,Other,327.42,0.404
Platform,Nintendo,427.21,0.514
Platform,Sony Computer Entertainment,104.06,0.125
Platform,Sega,60.84,0.073
Platform,THQ,41.02,0.049
Platform,Activision,33.4,0.04
Platform,Other,164.84,0.198
Puzzle,Nintendo,124.88,0.51
Puzzle,Atari,21.59,0.088
Puzzle,THQ,9.25,0.038
Puzzle,Warner Bros. Interactive Entertainment,6.65,0.027
Puzzle,Hudson Soft,6.61,0.027
Puzzle,Other,75.97,0.31
Racing,Nintendo,151.3,0.207
Racing,Electronic Arts,145.77,0.199
Racing,Sony Computer Entertainment,110.57,0.151
Racing,THQ,40.17,0.055
Racing,Codemasters,34.62,0.047
Racing,Other,249.61,0.341
Role-Playing,Nintendo,284.9,0.307
Role-Playing,Square Enix,97.09,0.105
Role-Playing,Bethesda Softworks,54.16,0.058
Role-Playing,Namco Bandai Games,53.82,0.058
Role-Playing,SquareSoft,52.59,0.057
Role-Playing,Other,384.81,0.415
Shooter,Activision,299.87,0.289
Shooter,Electronic Arts,158.26,0.153
Shooter,Microsoft Game Studios,95.46,0.092
Shooter,Nintendo,69.73,0.067
Shooter,Ubisoft,67.65,0.065
Shooter,Other,346.4,0.334
Simulation,Electronic Arts,89.53,0.228
Simulation,Nintendo,85.27,0.217
Simulation,Ubisoft,44.67,0.114
Simulation,Konami Digital Entertainment,32.31,0.082
Simulation,505 Games,22.24,0.057
Simulation,Other,118.18,0.301
Sports,Electronic Arts,479.67,0.36
Sports,Nintendo,218.01,0.164
Sports,Konami Digital Entertainment,98.95,0.074
Sports,Take-Two Interactive,76.77,0.058
Sports,Activision,75.91,0.057
Sports,Other,381.62,0.287
Strategy,Nintendo,27.35,0.156
Strategy,Activision,17.7,0.101
Strategy,Electronic Arts,14.08,0.08
Strategy,Namco Bandai Games,11.83,0.068
Strategy,Konami Digital Entertainment,10.99,0.063
Strategy,Other,93.17,0.532
